Iteration,estimated_params
1,"[0.15323077, 0.6762879, 0.22281617, 4.9577, 0.1058, 1.231835, 0.52117217, 1.0014378, 0.1054, 2.5428357]"
2,"[4.9944, 4.9469, 4.9829, 4.9683, 4.9831, 4.9193, 4.9971, 4.8769474, 4.956, 4.9891877]"
3,"[4.992837, 4.7618613, 4.9829, 4.974147, 4.9831, 4.9169784, 4.9971, 4.117514, 4.981, 4.9902]"
4,"[2.985142, 4.942194, 4.9829, 4.9962, 4.9831, 3.8411357, 4.1132693, 0.15711226, 4.981, 4.9456463]"
5,"[1.5526907, 2.184438, 4.9992, 4.9962, 4.228237, 0.24, 3.0384011, 0.1217, 4.2492795, 2.0989969]"
6,"[0.8085864, 1.4758831, 4.9936, 3.86863, 2.4793925, 0.66658926, 2.46462, 0.1345, 1.7126281, 2.9317067]"
7,"[0.4265979, 1.1126546, 4.7943044, 2.802934, 0.6101775, 2.3285651, 2.1481159, 0.1116, 0.57458377, 3.3823292]"
