model,run,rmse,cover95,post_sd,phi1,phi2,phi3,phi4,phi5,phi6,phi7,phi8,phi9,phi10
L.MGP_21_mcmc_result,101,1.0740317450561498,1.0,1.3628785086359212,1.2818,0.8401,3.0196,3.5351,0.9,1.3723,1.1013,3.1974,0.449,0.6882
L.MGP_21_mcmc_result,102,1.5123709385220532,0.9,1.2819552618883727,0.4942,4.0212,4.9495,2.58,0.2455,0.5042,3.9099,0.6114,2.5666,4.8159
L.MGP_21_mcmc_result,103,1.4088130139985027,1.0,1.3762799556115215,4.568,0.3722,0.4706,1.5675,4.7938,2.827,0.7027,2.9652,0.8818,1.8344
L.MGP_21_mcmc_result,104,1.0507658389909782,1.0,1.2738638840246757,2.6699,3.7197,3.6443,3.958,2.6562,4.7727,2.7261,4.4693,2.375,1.0587
L.MGP_21_mcmc_result,105,0.8631720058425802,0.9,1.326015205046761,2.468,2.5494,1.7686,0.1901,2.3813,2.2338,1.6554,2.1529,4.365,3.1417
L.MGP_21_mcmc_result,106,1.2302040810923307,0.9,1.2992749490874407,2.3608,3.5527,4.2004,3.2663,3.8981,2.7016,0.1488,4.5481,4.6564,0.8638
L.MGP_21_mcmc_result,107,0.8829355371759714,1.0,1.3157328261681918,2.7779,2.3686,1.1761,2.0971,1.1107,0.6466,4.2915,2.079,1.4402,2.7626
L.MGP_21_mcmc_result,108,1.3351312290728359,1.0,1.3207727620221923,4.4789,3.8829,2.9,4.6449,1.4106,2.0698,1.5681,0.532,0.5601,4.4559
L.MGP_21_mcmc_result,109,1.118508007485988,0.9,1.2665066818436617,0.5823,0.2392,2.4789,0.718,3.6,4.9531,2.9474,3.0397,3.4688,1.6204
L.MGP_21_mcmc_result,110,1.2484672520462352,1.0,1.3096451165787903,1.0204,4.64,0.5902,0.4576,3.0197,3.3713,2.0811,0.7689,0.7677,3.3101
L.MGP_21_mcmc_result,111,1.2633870002823626,1.0,1.2944037687799392,4.0406,1.0155,4.8395,4.3795,2.132,1.0484,3.7739,3.4298,2.759,0.316
L.MGP_21_mcmc_result,112,0.9791891319423655,1.0,1.3061056709416285,3.2162,3.104,1.8978,1.8358,0.6094,1.5531,0.899,4.311,4.1751,2.0094
L.MGP_21_mcmc_result,113,1.0067055008918175,1.0,1.2589972638617728,1.9228,1.9008,3.5439,3.0006,4.5454,4.0919,4.7284,1.6892,2.4913,4.0667
L.MGP_21_mcmc_result,114,1.2509686939696922,1.0,1.3185825362828005,1.4062,4.2855,1.5404,3.8142,0.7847,4.4693,2.3048,1.0534,1.0494,1.764
L.MGP_21_mcmc_result,115,1.2163855115765518,1.0,1.2475974393655986,3.6562,0.5653,3.2631,0.3912,4.1081,2.5334,3.3779,3.7517,3.0396,4.8866
L.MGP_21_mcmc_result,116,1.1786911400594853,0.9,1.3211710272417494,4.2133,3.3811,0.3908,2.7428,3.1975,0.2008,1.2687,4.0668,3.9209,2.9061
L.MGP_21_mcmc_result,117,1.0834458477730013,1.0,1.3241687671603788,0.9243,2.1205,4.4104,1.462,1.6971,3.1266,4.4927,1.3293,2.2359,1.2944
L.MGP_21_mcmc_result,118,1.3206648673369032,0.7,1.3062476450066367,0.1423,2.6261,2.6438,2.3549,2.4951,3.9524,0.5256,4.9113,4.9513,4.2103
L.MGP_21_mcmc_result,119,0.930016071484038,0.9,1.2884579759586097,4.9955,1.3464,2.146,3.6401,2.8469,1.6721,4.0487,2.3271,1.7363,2.4401
L.MGP_21_mcmc_result,120,1.6481182834180876,0.8,1.3171103696320199,2.874,4.7363,3.7862,1.2832,4.985,0.8709,1.7846,0.2086,0.319,0.4596
MVGP_21_mcmc_result,1,0.1331647128372494,1.0,0.16535872735180018,3.67,4.8642,1.433,4.7406,2.8699,0.6171,3.0394,3.4495,4.781,1.8129
MVGP_21_mcmc_result,2,0.05549531333846459,1.0,0.09635462566482314,1.4675,1.2111,3.3854,1.3114,1.9773,2.5577,1.3611,0.7503,1.8711,4.7991
MVGP_21_mcmc_result,3,0.06278317604044631,1.0,0.14074542491068626,1.8697,3.7501,1.6893,2.1444,3.3526,3.5584,3.8346,1.3861,0.4436,2.1734
MVGP_21_mcmc_result,4,0.09318671757272802,1.0,0.16661319464376778,3.1913,2.4799,3.7183,3.3148,1.8476,1.0148,0.625,4.0088,3.6597,3.788
MVGP_21_mcmc_result,5,0.1547961563702694,1.0,0.155115939752779,4.0561,4.0708,0.5492,0.7665,0.9416,1.7399,2.8014,3.732,4.5399,3.3185
MVGP_21_mcmc_result,6,0.13282898061093096,0.8,0.08967383456941233,1.0829,0.3601,4.8751,4.6922,4.2604,4.058,1.7331,1.0719,1.6312,0.1929
MVGP_21_mcmc_result,7,0.1238480809151817,1.0,0.2202536274466139,0.6069,4.5384,3.0989,4.3311,4.8285,3.0414,3.2787,2.7345,4.3323,4.6173
MVGP_21_mcmc_result,8,0.053822130410905625,1.0,0.17912909047297132,2.7156,2.9736,4.251,2.9534,2.3416,2.4099,4.5441,2.3839,0.9249,0.8744
MVGP_21_mcmc_result,9,0.10187728775112417,1.0,0.13431066859061574,2.3457,1.7226,1.1501,1.7874,2.6983,4.46,1.0258,4.8532,2.6087,2.6368
MVGP_21_mcmc_result,10,0.09771075990854854,1.0,0.1320695787682647,2.4155,3.1505,3.6177,4.884,1.1526,0.3173,2.0058,2.4633,3.5417,1.2776
MVGP_21_mcmc_result,11,0.07659284973004496,1.0,0.14652863720974482,2.6466,1.8941,1.8186,1.1105,3.8585,2.8609,3.6961,4.7788,0.6316,2.8845
MVGP_21_mcmc_result,12,0.1418718911900002,1.0,0.1945327308309543,4.5815,4.6674,4.765,3.5057,3.5627,4.5855,0.9744,2.6557,1.4358,4.8841
MVGP_21_mcmc_result,13,0.02583401195323118,1.0,0.09162468733098579,0.5563,0.9514,0.6689,2.4893,1.4455,2.2674,4.8061,0.3011,4.6509,1.728
MVGP_21_mcmc_result,14,0.06465911295340719,1.0,0.11277381739883419,1.3048,3.8909,2.4051,1.5967,2.0926,0.834,0.2266,3.5051,2.5333,3.7335
MVGP_21_mcmc_result,15,0.07256127429880091,1.0,0.17436751580098603,3.8328,0.194,2.9792,2.6081,3.0615,3.7222,4.367,1.3037,4.2183,0.4285
MVGP_21_mcmc_result,16,0.0580599690605582,1.0,0.13182346437071638,3.3953,3.6181,1.2506,0.2182,4.5798,3.9158,1.4903,1.6136,2.725,2.4281
MVGP_21_mcmc_result,17,0.042011227737861395,1.0,0.16327824175723887,1.6671,2.3425,4.1217,3.9872,0.5725,1.8657,2.872,3.7764,0.7351,4.1839
MVGP_21_mcmc_result,18,0.05915001075154082,1.0,0.12587873073242445,1.5328,4.7241,0.9172,3.1351,4.1451,2.1092,0.4479,3.2172,2.1739,1.5653
MVGP_21_mcmc_result,19,0.039142919611301376,1.0,0.18517862067197915,3.6063,1.0848,3.8647,1.7014,0.75,4.7622,3.9734,0.9778,3.8576,4.396
MVGP_21_mcmc_result,20,0.03574207508067058,1.0,0.1510230564152139,4.2345,2.5565,2.2199,4.2068,1.6554,2.7407,1.8623,1.8641,3.0546,2.7218
MVGP_21_mcmc_result,21,0.08763551565283227,1.0,0.09012634602622101,0.8265,1.3767,2.5644,0.6303,3.2367,0.4554,2.634,4.1421,1.0634,0.7895
MVGP_21_mcmc_result,22,0.06671608039411073,1.0,0.14180166895378535,0.3454,3.3303,4.4847,0.891,2.8121,1.439,2.3803,2.0961,3.1763,4.0212
MVGP_21_mcmc_result,23,0.10533773714079453,1.0,0.15665116286926914,4.7159,2.1313,0.3121,4.4718,2.5322,4.36,3.4557,4.5274,0.2673,1.94
MVGP_21_mcmc_result,24,0.08449519312148866,1.0,0.12928494142593044,3.1249,4.2538,3.1891,1.9624,0.3996,3.2575,1.1933,2.9849,1.7594,0.2658
MVGP_21_mcmc_result,25,0.18542791311658632,1.0,0.14995060533817267,2.0138,0.6336,1.6197,3.401,4.9429,1.3168,4.4149,0.5928,4.9757,3.2454
MVGP_21_mcmc_result,26,0.045523961945650886,1.0,0.06312853329068484,2.0862,3.2529,0.426,4.0401,2.0183,0.5535,0.9406,0.9292,0.6691,0.5139
MVGP_21_mcmc_result,27,0.15746792300360724,0.8,0.184489024886157,3.0514,2.0592,4.9815,0.117,2.9827,2.7956,4.7628,3.2455,3.5781,3.6485
MVGP_21_mcmc_result,28,0.10499856481190402,1.0,0.21883028889893463,4.7918,4.186,1.7359,2.6606,4.5059,4.822,2.0491,4.1892,4.6119,4.118
MVGP_21_mcmc_result,29,1.7380073640270552,0.0,1.4715306963759015e-05,0.2707,0.5519,3.6884,1.4971,0.4933,2.2024,3.7299,1.8349,1.3956,2.4944
MVGP_21_mcmc_result,30,0.10847208720932315,0.9,0.14414335998442954,0.747,4.9601,4.3622,2.4372,1.2267,1.2235,1.6103,4.421,4.1066,2.9673
MVGP_21_mcmc_result,31,0.05707338710560427,1.0,0.15339005364087938,4.3152,1.3069,1.0316,3.6052,3.9376,3.1977,2.9824,2.2204,2.4228,1.1946
MVGP_21_mcmc_result,32,1.9204310143184957,0.0,0.024291402472728985,3.5279,2.7829,3.0642,1.0575,3.6371,4.305,0.1162,0.6971,0.853,1.6642
MVGP_21_mcmc_result,33,0.11249496703106367,0.9,0.13453036834850132,1.6099,1.6084,2.3368,4.9856,1.5242,1.3409,4.247,2.8603,2.8442,4.9477
MVGP_21_mcmc_result,34,0.08600791535063312,1.0,0.16406904165010558,1.7442,3.9749,2.7882,3.3677,2.5801,2.3224,1.8292,4.751,3.8165,2.0254
MVGP_21_mcmc_result,35,0.04723458024966542,1.0,0.14736134809258167,3.317,0.2643,1.9842,2.0814,2.3049,4.6836,2.5912,2.5112,2.1315,3.9362
MVGP_21_mcmc_result,36,0.10954188403178305,0.8,0.12192033592254603,3.9135,3.6926,3.9283,4.4383,0.1673,2.9542,0.4906,0.3309,1.0989,3.1795
MVGP_21_mcmc_result,37,0.10815824511182343,1.0,0.09728210520357959,1.2253,2.4224,0.8274,1.0114,4.7158,0.3771,4.0066,2.6081,3.0888,0.3321
MVGP_21_mcmc_result,38,0.025186384740891767,1.0,0.10342620221040644,0.4816,2.9163,1.3983,0.6643,4.3772,1.8058,1.3127,1.18,0.3826,4.4788
MVGP_21_mcmc_result,39,0.08536365341246657,1.0,0.22394063173643858,4.6574,1.6653,3.4273,4.0862,0.9773,3.8225,4.5247,3.6107,3.2927,1.4824
MVGP_21_mcmc_result,40,0.0792325480572075,1.0,0.12988411051873838,2.5731,4.4428,0.2463,1.7345,1.8873,3.624,2.2704,3.9016,4.8613,0.7257
MVGP_21_mcmc_result,41,0.08309655022045609,1.0,0.13844680837778894,2.4879,0.7131,4.5722,3.0165,3.4642,0.779,3.3363,1.5088,1.6462,2.7854
MVGP_21_mcmc_result,42,0.1321236798630643,1.0,0.1441206050878512,2.2708,4.6098,2.1039,1.2011,0.684,4.003,4.9016,3.9802,1.9392,1.1195
MVGP_21_mcmc_result,43,0.06264375616533777,1.0,0.1277178450980976,2.7916,0.8939,2.678,4.7844,4.6197,1.6418,0.7636,1.435,3.9305,3.0429
MVGP_21_mcmc_result,44,0.030480059865190454,1.0,0.14571920264261248,4.4582,3.0546,0.9567,2.2743,3.0971,0.9215,3.5624,1.1008,2.9726,4.7171
MVGP_21_mcmc_result,45,0.12347388555834776,1.0,0.14825810799387348,0.6794,1.7983,3.8277,3.7106,2.2096,3.4986,2.1783,3.6852,1.2887,1.8953
MVGP_21_mcmc_result,46,0.07652240988709591,0.9,0.14503233092201145,1.1601,3.5225,3.298,2.8231,1.3326,4.5199,3.1595,0.1031,3.4107,3.5657
MVGP_21_mcmc_result,47,0.05061273257097897,1.0,0.10196566448217656,3.9777,2.247,1.4989,1.3919,3.5218,2.5032,1.4715,2.8405,0.1946,0.5962
MVGP_21_mcmc_result,48,0.1681478734364007,0.9,0.18496135885486553,3.2721,3.8336,4.4525,3.8966,3.8217,0.2514,4.1177,4.9782,1.8416,2.2704
MVGP_21_mcmc_result,49,1.7440166930212653,0.0,2.3201868990894932e-05,1.7901,0.1368,0.3564,0.3177,1.0345,3.0964,0.2836,2.2794,4.7503,4.3415
MVGP_21_mcmc_result,50,0.11704888847301644,1.0,0.139798851794817,1.3879,2.652,4.8044,1.9164,4.9074,3.3207,2.7683,0.4652,3.7654,1.4072
MVGP_21_mcmc_result,51,0.09166844152345027,1.0,0.11309615605562669,3.7508,1.4722,0.6318,2.9302,0.2826,1.0786,1.6904,3.0874,0.5505,4.5544
MVGP_21_mcmc_result,52,0.08340401521669585,1.0,0.14999223846538615,4.1113,4.7814,3.5017,0.5396,2.4208,1.5025,3.8773,4.6535,1.5072,2.5548
MVGP_21_mcmc_result,53,0.055383017241374066,1.0,0.12432220243310392,0.9499,1.142,1.9322,4.3064,2.7722,4.1221,0.6581,1.9927,4.4172,0.9568
MVGP_21_mcmc_result,54,0.10701030983525554,1.0,0.16710552550282684,0.2006,4.3114,1.2183,4.5625,3.2736,2.6511,4.6635,4.2636,2.3095,3.8534
MVGP_21_mcmc_result,55,0.08331240473597135,1.0,0.112779013872268,4.8604,0.6911,4.1659,0.7914,1.7735,0.6769,1.1357,1.7558,4.2995,2.1077
MVGP_21_mcmc_result,56,0.12560810558408375,0.8,0.11633883405258075,3.0018,3.4262,2.5139,3.186,0.8629,2.0193,3.1688,0.8554,2.6537,0.1081
MVGP_21_mcmc_result,57,0.10782262357749134,0.9,0.16220287396187766,2.1372,2.2272,2.8584,2.1673,4.1859,4.9833,2.3996,3.324,0.9687,3.403
MVGP_21_mcmc_result,58,0.034363758061889016,1.0,0.13448266147375307,2.1122,2.8471,2.2624,2.8806,2.9455,3.0668,1.5348,3.6271,1.3345,0.4062
MVGP_21_mcmc_result,59,0.046724059065203466,0.9,0.11558271411762236,2.9488,1.5811,3.1428,1.8705,2.0531,0.1075,2.9046,1.1576,4.5495,3.2202
MVGP_21_mcmc_result,60,0.0965802257207567,0.9,0.10190180678333746,4.9231,4.9669,1.1056,4.2604,0.5354,2.4353,0.1916,1.4536,3.5927,3.996
MVGP_21_mcmc_result,61,0.13472212033362346,1.0,0.15088824967573333,0.216,1.2605,4.2829,0.4901,4.4662,4.4143,4.3248,3.9605,0.6829,2.0804
MVGP_21_mcmc_result,62,0.05915768219010964,1.0,0.16492913514352997,1.0027,4.2122,3.7628,0.8375,3.9722,3.5838,1.0184,2.2979,2.7906,2.85
MVGP_21_mcmc_result,63,0.06324932693541002,1.0,0.08685222428436672,4.1361,0.4867,1.6574,4.6122,1.1897,0.9691,4.8381,4.9584,0.8004,0.7759
MVGP_21_mcmc_result,64,0.08694171948812912,1.0,0.14266175700016062,3.7358,3.2983,4.9076,2.217,1.4849,1.7653,1.9714,2.7825,2.4463,1.5517
MVGP_21_mcmc_result,65,0.06344560324819842,0.9,0.1387894780880279,1.3255,2.0514,0.5054,3.2321,3.6787,4.0123,3.6546,0.16,4.1313,4.5242
MVGP_21_mcmc_result,66,0.08095283128870702,1.0,0.13843492272758268,1.842,4.4124,4.6459,4.8114,2.2631,4.8599,1.2349,1.9741,3.1608,2.5302
MVGP_21_mcmc_result,67,0.07541326911577902,1.0,0.11478173998318908,3.2958,0.7826,0.1671,1.2317,2.6195,2.01,4.4493,4.6732,1.1695,4.1204
MVGP_21_mcmc_result,68,0.057214558007024865,1.0,0.20729912151842686,3.9634,2.8667,3.3527,3.7411,4.7527,0.5917,2.3482,3.1455,2.1275,3.67
MVGP_21_mcmc_result,69,0.03125211413794639,1.0,0.07764319984027004,1.0987,1.6774,1.477,2.3013,0.1329,2.6035,3.4118,0.4084,3.8113,0.5306
MVGP_21_mcmc_result,70,0.0926378322851013,0.9,0.11907807782084656,0.656,3.6241,0.7536,1.3614,1.0169,4.19,1.9045,3.382,1.6892,4.974
MVGP_21_mcmc_result,71,0.11055843511961988,1.0,0.17991385515052719,4.4065,2.4539,4.0074,2.7963,4.3353,1.6081,2.6689,0.7986,4.9054,1.6761
MVGP_21_mcmc_result,72,0.035249297863207914,1.0,0.09600546878971326,2.8527,3.9639,2.0587,0.2909,3.4293,1.1082,0.4153,1.7373,3.2584,1.2257
MVGP_21_mcmc_result,73,0.10438471852663282,1.0,0.15841483492467717,2.2848,0.3149,2.7094,3.8662,1.9246,3.4646,3.9288,4.2833,0.3497,2.9744
MVGP_21_mcmc_result,74,0.07408076488795669,1.0,0.11124572628121406,2.5415,3.787,0.2771,2.0352,4.6569,1.4656,3.0816,1.8164,1.2836,1.0022
MVGP_21_mcmc_result,75,0.08953721943246992,0.9,0.149044281027418,2.5975,0.1434,4.5264,3.318,0.6492,4.3155,1.396,4.2089,2.9684,2.6241
MVGP_21_mcmc_result,76,0.03947407909496817,1.0,0.20967943020639518,4.6427,3.4951,1.5774,0.9617,2.1675,3.2841,4.1956,3.3035,4.0011,4.6046
MVGP_21_mcmc_result,77,0.08473380375637694,1.0,0.09261213547402751,0.4183,2.3111,3.2236,4.3922,3.1368,1.2723,0.3591,0.8724,2.0112,1.4718
MVGP_21_mcmc_result,78,0.2000657800117461,1.0,0.21009917203510842,1.2011,3.0466,3.907,4.1358,3.4872,2.1358,4.9769,2.9183,4.7173,3.458
MVGP_21_mcmc_result,79,0.0849880436018803,0.8,0.06599551630978119,3.8602,1.8435,0.8827,0.7103,1.3696,4.7176,0.8413,0.6402,1.8073,0.1679
MVGP_21_mcmc_result,80,0.05990466941228375,1.0,0.16616007358049176,3.38,4.5444,2.5994,3.0625,1.0738,2.7673,3.4871,2.2019,0.2386,2.1483
MVGP_21_mcmc_result,81,0.045963330494897064,1.0,0.13319037272584672,1.7587,0.92,2.1783,1.7841,3.7801,0.4108,2.1006,4.4408,3.4538,3.9275
MVGP_21_mcmc_result,82,0.08507771251321836,0.8,0.11547932478165082,1.5868,3.4384,2.9371,0.1474,0.3244,0.8074,4.588,2.5501,4.4308,1.9025
MVGP_21_mcmc_result,83,0.14359327417633966,1.0,0.1630205956404025,3.4754,2.1777,2.4394,4.067,4.868,3.7667,1.0578,0.3877,1.522,4.7481
MVGP_21_mcmc_result,84,0.038099063842664274,1.0,0.21645009947449062,4.3772,4.3811,4.0868,1.5239,2.7354,3.8892,3.2443,2.5298,0.4881,3.0548
MVGP_21_mcmc_result,85,0.10163773698654463,1.0,0.11029371698068532,0.7606,0.6609,1.2922,2.6911,2.4553,1.9103,2.4775,4.7313,3.7044,1.1458
MVGP_21_mcmc_result,86,0.08047260902452405,0.9,0.10364169123297746,0.3229,4.8322,1.8535,3.5782,1.734,0.2907,2.846,1.5274,0.9935,4.3582
MVGP_21_mcmc_result,87,0.0577215537283668,1.0,0.18112801076949747,4.8146,1.1312,3.5763,2.4067,3.3155,2.9055,1.7657,3.8819,2.6771,2.2919
MVGP_21_mcmc_result,88,0.17675383438283418,0.8,0.1750737842543809,3.038,2.6837,0.7111,4.955,4.2208,4.5589,3.7996,3.5527,4.247,0.5986
MVGP_21_mcmc_result,89,0.05875725864324244,1.0,0.09479659408602248,2.0245,1.4039,4.7307,1.0305,0.8256,2.3119,0.5828,1.2368,2.2558,3.6015
MVGP_21_mcmc_result,90,0.1665729343532594,1.0,0.15489773070419782,1.9509,4.9096,3.4593,1.6542,3.7144,1.8552,4.1527,0.2825,2.9261,0.2384
MVGP_21_mcmc_result,91,0.03587885568934197,1.0,0.12145564654074337,3.1103,1.2033,1.3538,3.0867,1.6018,3.7911,0.3258,2.6755,1.2425,3.3879
MVGP_21_mcmc_result,92,0.16456145930546906,1.0,0.18648538941383005,4.7399,2.7515,4.616,0.5819,1.3014,3.6734,3.1149,4.8367,2.0454,3.8383
MVGP_21_mcmc_result,93,0.029738630343371517,1.0,0.09677284664294367,0.3989,1.4856,0.2138,4.1596,4.0119,0.7476,1.4389,2.4064,4.0366,2.238
MVGP_21_mcmc_result,94,0.08561240780798529,1.0,0.16931299750104523,0.8413,3.2024,1.9403,4.5204,4.4295,2.3718,3.5968,3.8345,1.9238,2.6919
MVGP_21_mcmc_result,95,0.03152448968401755,1.0,0.1335274378870032,4.2977,1.9556,2.8207,0.9383,0.4172,4.6522,2.2199,1.5568,4.8326,0.9342
MVGP_21_mcmc_result,96,0.08684496387408587,1.0,0.15698375059830577,3.5525,4.1546,0.7955,3.4484,1.9405,3.0036,4.8576,1.2851,3.3406,1.3846
MVGP_21_mcmc_result,97,0.16068997882771893,0.8,0.09866244039568539,1.5085,0.4291,3.9727,2.0109,2.9044,0.3457,0.7316,3.5248,0.1242,4.6915
MVGP_21_mcmc_result,98,0.03821295318008446,1.0,0.11607755131390643,1.6804,2.9626,1.0757,1.1399,1.813,1.1741,3.2008,4.0841,1.5583,2.3624
MVGP_21_mcmc_result,99,0.16876365067991134,1.0,0.18774255970233208,3.4572,1.7732,4.3295,4.9122,3.3896,3.2291,2.4435,1.921,4.4683,4.2881
MVGP_21_mcmc_result,100,0.0717202232469355,1.0,0.22763606139616144,3.7807,4.4699,2.3689,2.5175,4.2996,4.2556,4.622,0.9963,3.6642,3.5123
MVGP_21_mcmc_result,101,0.07762665907627528,1.0,0.08248577317030181,1.2818,0.8401,3.0196,3.5351,0.9,1.3723,1.1013,3.1974,0.449,0.6882
MVGP_21_mcmc_result,102,0.17566109883512515,0.8,0.11404784521081857,0.4942,4.0212,4.9495,2.58,0.2455,0.5042,3.9099,0.6114,2.5666,4.8159
MVGP_21_mcmc_result,103,0.048592073470914515,1.0,0.10537969231885116,4.568,0.3722,0.4706,1.5675,4.7938,2.827,0.7027,2.9652,0.8818,1.8344
MVGP_21_mcmc_result,104,0.11974249753257526,1.0,0.188901030529383,2.6699,3.7197,3.6443,3.958,2.6562,4.7727,2.7261,4.4693,2.375,1.0587
MVGP_21_mcmc_result,105,0.10074592226909825,1.0,0.11960541372303697,2.468,2.5494,1.7686,0.1901,2.3813,2.2338,1.6554,2.1529,4.365,3.1417
MVGP_21_mcmc_result,106,0.14556474790606025,1.0,0.1776231133361503,2.3608,3.5527,4.2004,3.2663,3.8981,2.7016,0.1488,4.5481,4.6564,0.8638
MVGP_21_mcmc_result,107,1.3316499180699612,0.0,8.096704358138599e-06,2.7779,2.3686,1.1761,2.0971,1.1107,0.6466,4.2915,2.079,1.4402,2.7626
MVGP_21_mcmc_result,108,0.02311292407843016,1.0,0.13207192143675509,4.4789,3.8829,2.9,4.6449,1.4106,2.0698,1.5681,0.532,0.5601,4.4559
MVGP_21_mcmc_result,109,0.1486735936781411,1.0,0.1343204802453116,0.5823,0.2392,2.4789,0.718,3.6,4.9531,2.9474,3.0397,3.4688,1.6204
MVGP_21_mcmc_result,110,0.03459741140369118,1.0,0.08886491881410198,1.0204,4.64,0.5902,0.4576,3.0197,3.3713,2.0811,0.7689,0.7677,3.3101
MVGP_21_mcmc_result,111,0.11160440643953723,1.0,0.13449167090589623,4.0406,1.0155,4.8395,4.3795,2.132,1.0484,3.7739,3.4298,2.759,0.316
MVGP_21_mcmc_result,112,0.04246805912077233,1.0,0.13334277970686984,3.2162,3.104,1.8978,1.8358,0.6094,1.5531,0.899,4.311,4.1751,2.0094
MVGP_21_mcmc_result,113,0.12837905509353018,1.0,0.2192885117466715,1.9228,1.9008,3.5439,3.0006,4.5454,4.0919,4.7284,1.6892,2.4913,4.0667
MVGP_21_mcmc_result,114,0.05912042749518021,1.0,0.11941960352903384,1.4062,4.2855,1.5404,3.8142,0.7847,4.4693,2.3048,1.0534,1.0494,1.764
MVGP_21_mcmc_result,115,0.09142107949486133,1.0,0.1715743554499539,3.6562,0.5653,3.2631,0.3912,4.1081,2.5334,3.3779,3.7517,3.0396,4.8866
MVGP_21_mcmc_result,116,0.05071432475497703,1.0,0.1420323809010416,4.2133,3.3811,0.3908,2.7428,3.1975,0.2008,1.2687,4.0668,3.9209,2.9061
MVGP_21_mcmc_result,117,0.10645348171357162,1.0,0.13610297949474287,0.9243,2.1205,4.4104,1.462,1.6971,3.1266,4.4927,1.3293,2.2359,1.2944
MVGP_21_mcmc_result,118,0.08551573150918278,1.0,0.14012341724706406,0.1423,2.6261,2.6438,2.3549,2.4951,3.9524,0.5256,4.9113,4.9513,4.2103
MVGP_21_mcmc_result,119,0.07116906565467078,0.9,0.1595504297624932,4.9955,1.3464,2.146,3.6401,2.8469,1.6721,4.0487,2.3271,1.7363,2.4401
MVGP_21_mcmc_result,120,0.22007514432351297,0.5,0.10464572398944536,2.874,4.7363,3.7862,1.2832,4.985,0.8709,1.7846,0.2086,0.319,0.4596
