nohup: ignoring input

  1%|          | 55/5000 [00:05<08:14, 10.00it/s, loss=0.111]
  1%|          | 55/5000 [00:05<08:14, 10.00it/s, loss=0.0833]
  1%|          | 55/5000 [00:05<08:14, 10.00it/s, loss=0.0554]
  1%|          | 57/5000 [00:05<08:11, 10.06it/s, loss=0.0554]
  1%|          | 57/5000 [00:05<08:11, 10.06it/s, loss=0.0276]
  1%|          | 57/5000 [00:05<08:11, 10.06it/s, loss=7.47e-5]
  1%|          | 59/5000 [00:05<08:12, 10.03it/s, loss=7.47e-5]
  1%|          | 59/5000 [00:06<08:12, 10.03it/s, loss=-0.0273]
  1%|          | 59/5000 [00:06<08:12, 10.03it/s, loss=-0.0545]
  1%|          | 61/5000 [00:06<08:14,  9.98it/s, loss=-0.0545]
  1%|          | 61/5000 [00:06<08:14,  9.98it/s, loss=-0.0815]
  1%|          | 61/5000 [00:06<08:14,  9.98it/s, loss=-0.108] 
  1%|▏         | 63/5000 [00:06<08:10, 10.06it/s, loss=-0.108]
  1%|▏         | 63/5000 [00:06<08:10, 10.06it/s, loss=-0.135]
  1%|▏         | 63/5000 [00:06<08:10, 10.06it/s, loss=-0.161]
  1%|▏         | 65/5000 [00:06<08:11, 10.04it/s, loss=-0.161]
  1%|▏         | 65/5000 [00:06<08:11, 10.04it/s, loss=-0.187]
  1%|▏         | 65/5000 [00:06<08:11, 10.04it/s, loss=-0.213]
  1%|▏         | 67/5000 [00:06<08:07, 10.12it/s, loss=-0.213]
  1%|▏         | 67/5000 [00:06<08:07, 10.12it/s, loss=-0.238]
  1%|▏         | 67/5000 [00:06<08:07, 10.12it/s, loss=-0.264]
  1%|▏         | 69/5000 [00:06<08:09, 10.08it/s, loss=-0.264]
  1%|▏         | 69/5000 [00:07<08:09, 10.08it/s, loss=-0.289]
  1%|▏         | 69/5000 [00:07<08:09, 10.08it/s, loss=-0.314]
  1%|▏         | 71/5000 [00:07<08:08, 10.09it/s, loss=-0.314]
  1%|▏         | 71/5000 [00:07<08:08, 10.09it/s, loss=-0.338]
  1%|▏         | 71/5000 [00:07<08:08, 10.09it/s, loss=-0.363]
  1%|▏         | 73/5000 [00:07<08:04, 10.17it/s, loss=-0.363]
  1%|▏         | 73/5000 [00:07<08:04, 10.17it/s, loss=-0.388]
  1%|▏         | 73/5000 [00:07<08:04, 10.17it/s, loss=-0.412]
  2%|▏         | 75/5000 [00:07<08:08, 10.08it/s, loss=-0.412]
