scenario,scenario_display,sample_idx,target_region,target_region_idx,inferred_region,inferred_region_idx,region_role,method,mse,mae,crps,interval_score,ci_width,coverage,median_mse
HCM,"HCM (Global, μ=1.7)",11,Global,-1,Inferior,1,Global,Point Estimate,0.124447,0.347507,0.347507,,0.000000,,0.124447
HCM,"HCM (Global, μ=1.7)",11,Global,-1,Lateral,2,Global,Point Estimate,0.001518,0.038838,0.038838,,0.000000,,0.001518
HCM,"HCM (Global, μ=1.7)",11,Global,-1,Septal,3,Global,Point Estimate,0.006178,0.076331,0.076331,,0.000000,,0.006178
HCM,"HCM (Global, μ=1.7)",11,Global,-1,Apical,4,Global,Point Estimate,0.000425,0.020484,0.020484,,0.000000,,0.000425
HCM,"HCM (Global, μ=1.7)",12,Global,-1,Anterior,0,Global,Point Estimate,0.000021,0.004269,0.004269,,0.000000,,0.000021
HCM,"HCM (Global, μ=1.7)",12,Global,-1,Inferior,1,Global,Point Estimate,0.127296,0.349237,0.349237,,0.000000,,0.127296
HCM,"HCM (Global, μ=1.7)",12,Global,-1,Lateral,2,Global,Point Estimate,0.003458,0.058648,0.058648,,0.000000,,0.003458
HCM,"HCM (Global, μ=1.7)",12,Global,-1,Septal,3,Global,Point Estimate,0.001110,0.033213,0.033213,,0.000000,,0.001110
HCM,"HCM (Global, μ=1.7)",12,Global,-1,Apical,4,Global,Point Estimate,0.000912,0.028138,0.028138,,0.000000,,0.000912
HCM,"HCM (Global, μ=1.7)",13,Global,-1,Anterior,0,Global,Point Estimate,0.000004,0.001738,0.001738,,0.000000,,0.000004
HCM,"HCM (Global, μ=1.7)",13,Global,-1,Inferior,1,Global,Point Estimate,0.139441,0.363914,0.363914,,0.000000,,0.139441
HCM,"HCM (Global, μ=1.7)",13,Global,-1,Lateral,2,Global,Point Estimate,0.001942,0.044020,0.044020,,0.000000,,0.001942
HCM,"HCM (Global, μ=1.7)",13,Global,-1,Septal,3,Global,Point Estimate,0.006698,0.079677,0.079677,,0.000000,,0.006698
HCM,"HCM (Global, μ=1.7)",13,Global,-1,Apical,4,Global,Point Estimate,0.000601,0.020336,0.020336,,0.000000,,0.000601
HCM,"HCM (Global, μ=1.7)",14,Global,-1,Anterior,0,Global,Point Estimate,0.006297,0.078944,0.078944,,0.000000,,0.006297
HCM,"HCM (Global, μ=1.7)",14,Global,-1,Inferior,1,Global,Point Estimate,0.155073,0.383318,0.383318,,0.000000,,0.155073
HCM,"HCM (Global, μ=1.7)",14,Global,-1,Lateral,2,Global,Point Estimate,0.002871,0.053229,0.053229,,0.000000,,0.002871
HCM,"HCM (Global, μ=1.7)",14,Global,-1,Septal,3,Global,Point Estimate,0.016856,0.127686,0.127686,,0.000000,,0.016856
HCM,"HCM (Global, μ=1.7)",14,Global,-1,Apical,4,Global,Point Estimate,0.000201,0.013982,0.013982,,0.000000,,0.000201
HCM,"HCM (Global, μ=1.7)",15,Global,-1,Anterior,0,Global,Point Estimate,0.000369,0.018946,0.018946,,0.000000,,0.000369
HCM,"HCM (Global, μ=1.7)",15,Global,-1,Inferior,1,Global,Point Estimate,0.044777,0.203085,0.203085,,0.000000,,0.044777
HCM,"HCM (Global, μ=1.7)",15,Global,-1,Lateral,2,Global,Point Estimate,0.000011,0.003109,0.003109,,0.000000,,0.000011
HCM,"HCM (Global, μ=1.7)",15,Global,-1,Septal,3,Global,Point Estimate,0.000905,0.026573,0.026573,,0.000000,,0.000905
HCM,"HCM (Global, μ=1.7)",15,Global,-1,Apical,4,Global,Point Estimate,0.003294,0.056346,0.056346,,0.000000,,0.003294
HCM,"HCM (Global, μ=1.7)",16,Global,-1,Anterior,0,Global,Point Estimate,0.003044,0.055107,0.055107,,0.000000,,0.003044
HCM,"HCM (Global, μ=1.7)",16,Global,-1,Inferior,1,Global,Point Estimate,0.148336,0.374346,0.374346,,0.000000,,0.148336
HCM,"HCM (Global, μ=1.7)",16,Global,-1,Lateral,2,Global,Point Estimate,0.000514,0.021759,0.021759,,0.000000,,0.000514
HCM,"HCM (Global, μ=1.7)",16,Global,-1,Septal,3,Global,Point Estimate,0.016873,0.129025,0.129025,,0.000000,,0.016873
HCM,"HCM (Global, μ=1.7)",16,Global,-1,Apical,4,Global,Point Estimate,0.000194,0.013391,0.013391,,0.000000,,0.000194
HCM,"HCM (Global, μ=1.7)",17,Global,-1,Anterior,0,Global,Point Estimate,0.000043,0.005672,0.005672,,0.000000,,0.000043
HCM,"HCM (Global, μ=1.7)",17,Global,-1,Inferior,1,Global,Point Estimate,0.173228,0.404682,0.404682,,0.000000,,0.173228
HCM,"HCM (Global, μ=1.7)",17,Global,-1,Lateral,2,Global,Point Estimate,0.000108,0.010106,0.010106,,0.000000,,0.000108
HCM,"HCM (Global, μ=1.7)",17,Global,-1,Septal,3,Global,Point Estimate,0.023186,0.147934,0.147934,,0.000000,,0.023186
HCM,"HCM (Global, μ=1.7)",17,Global,-1,Apical,4,Global,Point Estimate,0.000528,0.020962,0.020962,,0.000000,,0.000528
HCM,"HCM (Global, μ=1.7)",18,Global,-1,Anterior,0,Global,Point Estimate,0.004564,0.067324,0.067324,,0.000000,,0.004564
HCM,"HCM (Global, μ=1.7)",18,Global,-1,Inferior,1,Global,Point Estimate,0.138783,0.364015,0.364015,,0.000000,,0.138783
HCM,"HCM (Global, μ=1.7)",18,Global,-1,Lateral,2,Global,Point Estimate,0.001073,0.031449,0.031449,,0.000000,,0.001073
HCM,"HCM (Global, μ=1.7)",18,Global,-1,Septal,3,Global,Point Estimate,0.000081,0.009009,0.009009,,0.000000,,0.000081
HCM,"HCM (Global, μ=1.7)",18,Global,-1,Apical,4,Global,Point Estimate,0.000183,0.011286,0.011286,,0.000000,,0.000183
HCM,"HCM (Global, μ=1.7)",19,Global,-1,Anterior,0,Global,Point Estimate,0.011212,0.104986,0.104986,,0.000000,,0.011212
HCM,"HCM (Global, μ=1.7)",19,Global,-1,Inferior,1,Global,Point Estimate,0.165458,0.395541,0.395541,,0.000000,,0.165458
HCM,"HCM (Global, μ=1.7)",19,Global,-1,Lateral,2,Global,Point Estimate,0.000326,0.016840,0.016840,,0.000000,,0.000326
HCM,"HCM (Global, μ=1.7)",19,Global,-1,Septal,3,Global,Point Estimate,0.001631,0.040379,0.040379,,0.000000,,0.001631
HCM,"HCM (Global, μ=1.7)",19,Global,-1,Apical,4,Global,Point Estimate,0.006795,0.080381,0.080381,,0.000000,,0.006795
HCM,"HCM (Global, μ=1.7)",20,Global,-1,Anterior,0,Global,Point Estimate,0.000059,0.007312,0.007312,,0.000000,,0.000059
HCM,"HCM (Global, μ=1.7)",20,Global,-1,Inferior,1,Global,Point Estimate,0.159768,0.392262,0.392262,,0.000000,,0.159768
HCM,"HCM (Global, μ=1.7)",20,Global,-1,Lateral,2,Global,Point Estimate,0.010027,0.100067,0.100067,,0.000000,,0.010027
HCM,"HCM (Global, μ=1.7)",20,Global,-1,Septal,3,Global,Point Estimate,0.007097,0.082530,0.082530,,0.000000,,0.007097
HCM,"HCM (Global, μ=1.7)",20,Global,-1,Apical,4,Global,Point Estimate,0.000195,0.013746,0.013746,,0.000000,,0.000195
HCM,"HCM (Global, μ=1.7)",21,Global,-1,Anterior,0,Global,Point Estimate,0.008403,0.091665,0.091665,,0.000000,,0.008403
HCM,"HCM (Global, μ=1.7)",21,Global,-1,Inferior,1,Global,Point Estimate,0.188023,0.422442,0.422442,,0.000000,,0.188023
HCM,"HCM (Global, μ=1.7)",21,Global,-1,Lateral,2,Global,Point Estimate,0.000454,0.020094,0.020094,,0.000000,,0.000454
HCM,"HCM (Global, μ=1.7)",21,Global,-1,Septal,3,Global,Point Estimate,0.029058,0.167433,0.167433,,0.000000,,0.029058
HCM,"HCM (Global, μ=1.7)",21,Global,-1,Apical,4,Global,Point Estimate,0.000078,0.007373,0.007373,,0.000000,,0.000078
HCM,"HCM (Global, μ=1.7)",22,Global,-1,Anterior,0,Global,Point Estimate,0.000550,0.023384,0.023384,,0.000000,,0.000550
HCM,"HCM (Global, μ=1.7)",22,Global,-1,Inferior,1,Global,Point Estimate,0.133792,0.357140,0.357140,,0.000000,,0.133792
HCM,"HCM (Global, μ=1.7)",22,Global,-1,Lateral,2,Global,Point Estimate,0.001520,0.038557,0.038557,,0.000000,,0.001520
HCM,"HCM (Global, μ=1.7)",22,Global,-1,Septal,3,Global,Point Estimate,0.007960,0.088888,0.088888,,0.000000,,0.007960
HCM,"HCM (Global, μ=1.7)",22,Global,-1,Apical,4,Global,Point Estimate,0.000873,0.026154,0.026154,,0.000000,,0.000873
HCM,"HCM (Global, μ=1.7)",23,Global,-1,Anterior,0,Global,Point Estimate,0.000045,0.006304,0.006304,,0.000000,,0.000045
HCM,"HCM (Global, μ=1.7)",23,Global,-1,Inferior,1,Global,Point Estimate,0.210590,0.446932,0.446932,,0.000000,,0.210590
HCM,"HCM (Global, μ=1.7)",23,Global,-1,Lateral,2,Global,Point Estimate,0.000992,0.028969,0.028969,,0.000000,,0.000992
HCM,"HCM (Global, μ=1.7)",23,Global,-1,Septal,3,Global,Point Estimate,0.054258,0.228009,0.228009,,0.000000,,0.054258
HCM,"HCM (Global, μ=1.7)",23,Global,-1,Apical,4,Global,Point Estimate,0.002122,0.044112,0.044112,,0.000000,,0.002122
HCM,"HCM (Global, μ=1.7)",24,Global,-1,Anterior,0,Global,Point Estimate,0.000994,0.031026,0.031026,,0.000000,,0.000994
HCM,"HCM (Global, μ=1.7)",24,Global,-1,Inferior,1,Global,Point Estimate,0.174159,0.401333,0.401333,,0.000000,,0.174159
HCM,"HCM (Global, μ=1.7)",24,Global,-1,Lateral,2,Global,Point Estimate,0.000232,0.011529,0.011529,,0.000000,,0.000232
HCM,"HCM (Global, μ=1.7)",24,Global,-1,Septal,3,Global,Point Estimate,0.010384,0.101351,0.101351,,0.000000,,0.010384
HCM,"HCM (Global, μ=1.7)",24,Global,-1,Apical,4,Global,Point Estimate,0.007306,0.082402,0.082402,,0.000000,,0.007306
HCM,"HCM (Global, μ=1.7)",25,Global,-1,Anterior,0,Global,Point Estimate,0.001303,0.034534,0.034534,,0.000000,,0.001303
HCM,"HCM (Global, μ=1.7)",25,Global,-1,Inferior,1,Global,Point Estimate,0.146926,0.367267,0.367267,,0.000000,,0.146926
