scenario,sample_idx,target_region_idx,inferred_region,inferred_region_idx,region_role,credible_level,covered
HCM,11,-1,Anterior,0,Global,0.600000,1.000000
HCM,11,-1,Anterior,0,Global,0.700000,1.000000
HCM,11,-1,Anterior,0,Global,0.800000,1.000000
HCM,11,-1,Anterior,0,Global,0.900000,1.000000
HCM,11,-1,Anterior,0,Global,0.950000,1.000000
HCM,11,-1,Inferior,1,Global,0.500000,1.000000
HCM,11,-1,Inferior,1,Global,0.600000,1.000000
HCM,11,-1,Inferior,1,Global,0.700000,1.000000
HCM,11,-1,Inferior,1,Global,0.800000,1.000000
HCM,11,-1,Inferior,1,Global,0.900000,1.000000
HCM,11,-1,Inferior,1,Global,0.950000,1.000000
HCM,11,-1,Lateral,2,Global,0.500000,1.000000
HCM,11,-1,Lateral,2,Global,0.600000,1.000000
HCM,11,-1,Lateral,2,Global,0.700000,1.000000
HCM,11,-1,Lateral,2,Global,0.800000,1.000000
HCM,11,-1,Lateral,2,Global,0.900000,1.000000
HCM,11,-1,Lateral,2,Global,0.950000,1.000000
HCM,11,-1,Septal,3,Global,0.500000,0.000000
HCM,11,-1,Septal,3,Global,0.600000,0.500000
HCM,11,-1,Septal,3,Global,0.700000,1.000000
HCM,11,-1,Septal,3,Global,0.800000,1.000000
HCM,11,-1,Septal,3,Global,0.900000,1.000000
HCM,11,-1,Septal,3,Global,0.950000,1.000000
HCM,11,-1,Apical,4,Global,0.500000,1.000000
HCM,11,-1,Apical,4,Global,0.600000,1.000000
HCM,11,-1,Apical,4,Global,0.700000,1.000000
HCM,11,-1,Apical,4,Global,0.800000,1.000000
HCM,11,-1,Apical,4,Global,0.900000,1.000000
HCM,11,-1,Apical,4,Global,0.950000,1.000000
HCM,12,-1,Anterior,0,Global,0.500000,1.000000
HCM,12,-1,Anterior,0,Global,0.600000,1.000000
HCM,12,-1,Anterior,0,Global,0.700000,1.000000
HCM,12,-1,Anterior,0,Global,0.800000,1.000000
HCM,12,-1,Anterior,0,Global,0.900000,1.000000
HCM,12,-1,Anterior,0,Global,0.950000,1.000000
HCM,12,-1,Inferior,1,Global,0.500000,1.000000
HCM,12,-1,Inferior,1,Global,0.600000,1.000000
HCM,12,-1,Inferior,1,Global,0.700000,1.000000
HCM,12,-1,Inferior,1,Global,0.800000,1.000000
HCM,12,-1,Inferior,1,Global,0.900000,1.000000
HCM,12,-1,Inferior,1,Global,0.950000,1.000000
HCM,12,-1,Lateral,2,Global,0.500000,1.000000
HCM,12,-1,Lateral,2,Global,0.600000,1.000000
HCM,12,-1,Lateral,2,Global,0.700000,1.000000
HCM,12,-1,Lateral,2,Global,0.800000,1.000000
HCM,12,-1,Lateral,2,Global,0.900000,1.000000
HCM,12,-1,Lateral,2,Global,0.950000,1.000000
HCM,12,-1,Septal,3,Global,0.500000,1.000000
HCM,12,-1,Septal,3,Global,0.600000,1.000000
HCM,12,-1,Septal,3,Global,0.700000,1.000000
HCM,12,-1,Septal,3,Global,0.800000,1.000000
HCM,12,-1,Septal,3,Global,0.900000,1.000000
HCM,12,-1,Septal,3,Global,0.950000,1.000000
HCM,12,-1,Apical,4,Global,0.500000,1.000000
HCM,12,-1,Apical,4,Global,0.600000,1.000000
HCM,12,-1,Apical,4,Global,0.700000,1.000000
HCM,12,-1,Apical,4,Global,0.800000,1.000000
HCM,12,-1,Apical,4,Global,0.900000,1.000000
HCM,12,-1,Apical,4,Global,0.950000,1.000000
HCM,13,-1,Anterior,0,Global,0.500000,1.000000
HCM,13,-1,Anterior,0,Global,0.600000,1.000000
HCM,13,-1,Anterior,0,Global,0.700000,1.000000
HCM,13,-1,Anterior,0,Global,0.800000,1.000000
HCM,13,-1,Anterior,0,Global,0.900000,1.000000
HCM,13,-1,Anterior,0,Global,0.950000,1.000000
HCM,13,-1,Inferior,1,Global,0.500000,1.000000
HCM,13,-1,Inferior,1,Global,0.600000,1.000000
HCM,13,-1,Inferior,1,Global,0.700000,1.000000
HCM,13,-1,Inferior,1,Global,0.800000,1.000000
HCM,13,-1,Inferior,1,Global,0.900000,1.000000
HCM,13,-1,Inferior,1,Global,0.950000,1.000000
HCM,13,-1,Lateral,2,Global,0.500000,1.000000
HCM,13,-1,Lateral,2,Global,0.600000,1.000000
HCM,13,-1,Lateral,2,Global,0.700000,1.000000
HCM,13,-1,Lateral,2,Global,0.800000,1.000000
HCM,13,-1,Lateral,2,Global,0.900000,1.000000
HCM,13,-1,Lateral,2,Global,0.950000,1.000000
HCM,13,-1,Septal,3,Global,0.500000,1.000000
HCM,13,-1,Septal,3,Global,0.600000,1.000000
HCM,13,-1,Septal,3,Global,0.700000,1.000000
HCM,13,-1,Septal,3,Global,0.800000,1.000000
HCM,13,-1,Septal,3,Global,0.900000,1.000000
HCM,13,-1,Septal,3,Global,0.950000,1.000000
HCM,13,-1,Apical,4,Global,0.500000,1.000000
HCM,13,-1,Apical,4,Global,0.600000,1.000000
HCM,13,-1,Apical,4,Global,0.700000,1.000000
HCM,13,-1,Apical,4,Global,0.800000,1.000000
HCM,13,-1,Apical,4,Global,0.900000,1.000000
HCM,13,-1,Apical,4,Global,0.950000,1.000000
HCM,14,-1,Anterior,0,Global,0.500000,1.000000
HCM,14,-1,Anterior,0,Global,0.600000,1.000000
HCM,14,-1,Anterior,0,Global,0.700000,1.000000
HCM,14,-1,Anterior,0,Global,0.800000,1.000000
HCM,14,-1,Anterior,0,Global,0.900000,1.000000
HCM,14,-1,Anterior,0,Global,0.950000,1.000000
HCM,14,-1,Inferior,1,Global,0.500000,1.000000
HCM,14,-1,Inferior,1,Global,0.600000,1.000000
HCM,14,-1,Inferior,1,Global,0.700000,1.000000
HCM,14,-1,Inferior,1,Global,0.800000,1.000000
HCM,14,-1,Inferior,1,Global,0.900000,1.000000
HCM,14,-1,Inferior,1,Global,0.950000,1.000000
HCM,14,-1,Lateral,2,Global,0.500000,1.000000
HCM,14,-1,Lateral,2,Global,0.600000,1.000000
HCM,14,-1,Lateral,2,Global,0.700000,1.000000
HCM,14,-1,Lateral,2,Global,0.800000,1.000000
HCM,14,-1,Lateral,2,Global,0.900000,1.000000
HCM,14,-1,Lateral,2,Global,0.950000,1.000000
HCM,14,-1,Septal,3,Global,0.500000,1.000000
HCM,14,-1,Septal,3,Global,0.600000,1.000000
HCM,14,-1,Septal,3,Global,0.700000,1.000000
HCM,14,-1,Septal,3,Global,0.800000,1.000000
HCM,14,-1,Septal,3,Global,0.900000,1.000000
HCM,14,-1,Septal,3,Global,0.950000,1.000000
HCM,14,-1,Apical,4,Global,0.500000,1.000000
HCM,14,-1,Apical,4,Global,0.600000,1.000000
HCM,14,-1,Apical,4,Global,0.700000,1.000000
HCM,14,-1,Apical,4,Global,0.800000,1.000000
HCM,14,-1,Apical,4,Global,0.900000,1.000000
HCM,14,-1,Apical,4,Global,0.950000,1.000000
HCM,15,-1,Anterior,0,Global,0.500000,1.000000
HCM,15,-1,Anterior,0,Global,0.600000,1.000000
HCM,15,-1,Anterior,0,Global,0.700000,1.000000
HCM,15,-1,Anterior,0,Global,0.800000,1.000000
HCM,15,-1,Anterior,0,Global,0.900000,1.000000
HCM,15,-1,Anterior,0,Global,0.950000,1.000000
HCM,15,-1,Inferior,1,Global,0.500000,1.000000
HCM,15,-1,Inferior,1,Global,0.600000,1.000000
HCM,15,-1,Inferior,1,Global,0.700000,1.000000
HCM,15,-1,Inferior,1,Global,0.800000,1.000000
HCM,15,-1,Inferior,1,Global,0.900000,1.000000
HCM,15,-1,Inferior,1,Global,0.950000,1.000000
HCM,15,-1,Lateral,2,Global,0.500000,1.000000
HCM,15,-1,Lateral,2,Global,0.600000,1.000000
HCM,15,-1,Lateral,2,Global,0.700000,1.000000
HCM,15,-1,Lateral,2,Global,0.800000,1.000000
HCM,15,-1,Lateral,2,Global,0.900000,1.000000
HCM,15,-1,Lateral,2,Global,0.950000,1.000000
HCM,15,-1,Septal,3,Global,0.500000,1.000000
HCM,15,-1,Septal,3,Global,0.600000,1.000000
HCM,15,-1,Septal,3,Global,0.700000,1.000000
HCM,15,-1,Septal,3,Global,0.800000,1.000000
HCM,15,-1,Septal,3,Global,0.900000,1.000000
HCM,15,-1,Septal,3,Global,0.950000,1.000000
HCM,15,-1,Apical,4,Global,0.500000,1.000000
HCM,15,-1,Apical,4,Global,0.600000,1.000000
HCM,15,-1,Apical,4,Global,0.700000,1.000000
HCM,15,-1,Apical,4,Global,0.800000,1.000000
HCM,15,-1,Apical,4,Global,0.900000,1.000000
HCM,15,-1,Apical,4,Global,0.950000,1.000000
HCM,16,-1,Anterior,0,Global,0.500000,1.000000
HCM,16,-1,Anterior,0,Global,0.600000,1.000000
HCM,16,-1,Anterior,0,Global,0.700000,1.000000
