scenario,scenario_display,sample_idx,target_region,target_region_idx,inferred_region,inferred_region_idx,region_role,method,mse,mae,crps,interval_score,ci_width,coverage,median_mse
MI_1,MI Mild (μ=1.5),0,Anterior,0,Anterior,0,Diseased,MCMC,0.003128,,0.114484,1.444971,1.444971,1.000000,0.003128
MI_1,MI Mild (μ=1.5),0,Anterior,0,Inferior,1,Non-diseased,MCMC,0.292535,,0.382584,2.073763,0.818346,0.000000,0.292535
MI_1,MI Mild (μ=1.5),0,Anterior,0,Lateral,2,Non-diseased,MCMC,0.000737,,0.033427,0.477256,0.477256,1.000000,0.000737
MI_1,MI Mild (μ=1.5),0,Anterior,0,Septal,3,Non-diseased,MCMC,0.019310,,0.100762,0.945454,0.945454,1.000000,0.019310
MI_1,MI Mild (μ=1.5),0,Anterior,0,Apical,4,Non-diseased,MCMC,0.010291,,0.061843,0.333058,0.333058,1.000000,0.010291
MI_1,MI Mild (μ=1.5),1,Anterior,0,Anterior,0,Diseased,MCMC,0.008093,,0.053549,0.467945,0.467945,1.000000,0.008093
MI_1,MI Mild (μ=1.5),1,Anterior,0,Inferior,1,Non-diseased,MCMC,0.131526,,0.209448,1.189567,1.189567,1.000000,0.131526
MI_1,MI Mild (μ=1.5),1,Anterior,0,Lateral,2,Non-diseased,MCMC,0.015277,,0.076213,0.433538,0.433538,1.000000,0.015277
MI_1,MI Mild (μ=1.5),1,Anterior,0,Septal,3,Non-diseased,MCMC,0.056289,,0.142443,0.801900,0.801900,1.000000,0.056289
MI_1,MI Mild (μ=1.5),1,Anterior,0,Apical,4,Non-diseased,MCMC,0.000250,,0.029213,0.439599,0.439599,1.000000,0.000250
MI_1,MI Mild (μ=1.5),2,Anterior,0,Anterior,0,Diseased,MCMC,0.001582,,0.034936,0.416636,0.416636,1.000000,0.001582
MI_1,MI Mild (μ=1.5),2,Anterior,0,Inferior,1,Non-diseased,MCMC,0.271728,,0.341833,1.008879,1.008879,1.000000,0.271728
MI_1,MI Mild (μ=1.5),2,Anterior,0,Lateral,2,Non-diseased,MCMC,0.033067,,0.120750,0.424904,0.424904,1.000000,0.033067
MI_1,MI Mild (μ=1.5),2,Anterior,0,Septal,3,Non-diseased,MCMC,0.032051,,0.103795,0.704256,0.704256,1.000000,0.032051
MI_1,MI Mild (μ=1.5),2,Anterior,0,Apical,4,Non-diseased,MCMC,0.006975,,0.051073,0.326165,0.326165,1.000000,0.006975
MI_1,MI Mild (μ=1.5),3,Anterior,0,Anterior,0,Diseased,MCMC,0.012126,,0.070331,0.651612,0.651612,1.000000,0.012126
