scenario,scenario_display,sample_idx,target_region,target_region_idx,inferred_region,inferred_region_idx,region_role,method,mse,mae,crps,interval_score,ci_width,coverage,median_mse
HCM,"HCM (Global, μ=1.7)",22,Global,-1,Inferior,1,Global,MCMC,0.000262,,0.106528,1.382798,1.382798,1.000000,0.000262
HCM,"HCM (Global, μ=1.7)",22,Global,-1,Lateral,2,Global,MCMC,0.000207,,0.050543,0.704089,0.704089,1.000000,0.000207
HCM,"HCM (Global, μ=1.7)",22,Global,-1,Septal,3,Global,MCMC,0.038208,,0.149642,1.613191,1.613191,1.000000,0.038208
HCM,"HCM (Global, μ=1.7)",22,Global,-1,Apical,4,Global,MCMC,0.000936,,0.049241,0.665298,0.665298,1.000000,0.000936
HCM,"HCM (Global, μ=1.7)",23,Global,-1,Anterior,0,Global,MCMC,0.003124,,0.069958,0.935608,0.935608,1.000000,0.003124
HCM,"HCM (Global, μ=1.7)",23,Global,-1,Inferior,1,Global,MCMC,0.000422,,0.123757,1.775376,1.775376,1.000000,0.000422
HCM,"HCM (Global, μ=1.7)",23,Global,-1,Lateral,2,Global,MCMC,0.000048,,0.048244,0.672774,0.672774,1.000000,0.000048
HCM,"HCM (Global, μ=1.7)",23,Global,-1,Septal,3,Global,MCMC,0.018984,,0.134176,1.693735,1.693735,1.000000,0.018984
HCM,"HCM (Global, μ=1.7)",23,Global,-1,Apical,4,Global,MCMC,0.000205,,0.051554,0.702877,0.702877,1.000000,0.000205
HCM,"HCM (Global, μ=1.7)",24,Global,-1,Anterior,0,Global,MCMC,0.000217,,0.068018,0.960774,0.960774,1.000000,0.000217
HCM,"HCM (Global, μ=1.7)",24,Global,-1,Inferior,1,Global,MCMC,0.000144,,0.124369,1.811677,1.811677,1.000000,0.000144
HCM,"HCM (Global, μ=1.7)",24,Global,-1,Lateral,2,Global,MCMC,0.000725,,0.050472,0.705392,0.705392,1.000000,0.000725
HCM,"HCM (Global, μ=1.7)",24,Global,-1,Septal,3,Global,MCMC,0.037946,,0.143288,1.509437,1.509437,1.000000,0.037946
HCM,"HCM (Global, μ=1.7)",24,Global,-1,Apical,4,Global,MCMC,0.000654,,0.053212,0.759432,0.759432,1.000000,0.000654
HCM,"HCM (Global, μ=1.7)",25,Global,-1,Anterior,0,Global,MCMC,0.000975,,0.058635,0.796828,0.796828,1.000000,0.000975
HCM,"HCM (Global, μ=1.7)",25,Global,-1,Inferior,1,Global,MCMC,0.010937,,0.132750,1.831451,1.831451,1.000000,0.010937
HCM,"HCM (Global, μ=1.7)",25,Global,-1,Lateral,2,Global,MCMC,0.003928,,0.064745,0.822702,0.822702,1.000000,0.003928
HCM,"HCM (Global, μ=1.7)",25,Global,-1,Septal,3,Global,MCMC,0.055511,,0.153981,1.482694,1.482694,1.000000,0.055511
HCM,"HCM (Global, μ=1.7)",25,Global,-1,Apical,4,Global,MCMC,0.000631,,0.046348,0.624012,0.624012,1.000000,0.000631
HCM,"HCM (Global, μ=1.7)",26,Global,-1,Anterior,0,Global,MCMC,0.000432,,0.080484,1.051109,1.051109,1.000000,0.000432
HCM,"HCM (Global, μ=1.7)",26,Global,-1,Inferior,1,Global,MCMC,0.004539,,0.122700,1.770906,1.770906,1.000000,0.004539
HCM,"HCM (Global, μ=1.7)",26,Global,-1,Lateral,2,Global,MCMC,0.000125,,0.052099,0.732302,0.732302,1.000000,0.000125
HCM,"HCM (Global, μ=1.7)",26,Global,-1,Septal,3,Global,MCMC,0.027842,,0.133230,1.463398,1.463398,1.000000,0.027842
HCM,"HCM (Global, μ=1.7)",26,Global,-1,Apical,4,Global,MCMC,0.000019,,0.051224,0.719402,0.719402,1.000000,0.000019
HCM,"HCM (Global, μ=1.7)",27,Global,-1,Anterior,0,Global,MCMC,0.001992,,0.061780,0.860415,0.860415,1.000000,0.001992
HCM,"HCM (Global, μ=1.7)",27,Global,-1,Inferior,1,Global,MCMC,0.010600,,0.118385,1.522963,1.522963,1.000000,0.010600
HCM,"HCM (Global, μ=1.7)",27,Global,-1,Lateral,2,Global,MCMC,0.009429,,0.066492,0.678052,0.678052,1.000000,0.009429
HCM,"HCM (Global, μ=1.7)",27,Global,-1,Septal,3,Global,MCMC,0.013718,,0.114282,1.457715,1.457715,1.000000,0.013718
HCM,"HCM (Global, μ=1.7)",27,Global,-1,Apical,4,Global,MCMC,0.001186,,0.032953,0.422689,0.422689,1.000000,0.001186
HCM,"HCM (Global, μ=1.7)",28,Global,-1,Anterior,0,Global,MCMC,0.001301,,0.070995,0.959709,0.959709,1.000000,0.001301
HCM,"HCM (Global, μ=1.7)",28,Global,-1,Inferior,1,Global,MCMC,0.001869,,0.100003,1.412658,1.412658,1.000000,0.001869
HCM,"HCM (Global, μ=1.7)",28,Global,-1,Lateral,2,Global,MCMC,0.000586,,0.050007,0.679872,0.679872,1.000000,0.000586
HCM,"HCM (Global, μ=1.7)",28,Global,-1,Septal,3,Global,MCMC,0.025202,,0.123817,1.382535,1.382535,1.000000,0.025202
HCM,"HCM (Global, μ=1.7)",28,Global,-1,Apical,4,Global,MCMC,0.000315,,0.044469,0.609589,0.609589,1.000000,0.000315
