scenario,scenario_display,sample_idx,target_region,target_region_idx,aggregate_type,method,mse,mae,crps,interval_score,ci_width,coverage
HCM,Multi-territory MI (μ=1.7),10,All Regions,-1,Overall Avg,Point Estimate,0.026405,0.107712,0.107712,,0.000000,
HCM,Multi-territory MI (μ=1.7),10,All Regions,-1,Overall Avg,MCMC,0.006140,,0.091456,1.155343,1.155343,1.000000
HCM,Multi-territory MI (μ=1.7),10,All Regions,-1,Diseased Avg,Point Estimate,0.026405,0.107712,0.107712,,0.000000,
HCM,Multi-territory MI (μ=1.7),10,All Regions,-1,Diseased Avg,MCMC,0.006140,,0.091456,1.155343,1.155343,1.000000
HCM,Multi-territory MI (μ=1.7),11,All Regions,-1,Overall Avg,Point Estimate,0.030098,0.123396,0.123396,,0.000000,
HCM,Multi-territory MI (μ=1.7),11,All Regions,-1,Overall Avg,MCMC,0.023545,,0.090859,0.927527,0.927527,1.000000
HCM,Multi-territory MI (μ=1.7),11,All Regions,-1,Diseased Avg,Point Estimate,0.030098,0.123396,0.123396,,0.000000,
HCM,Multi-territory MI (μ=1.7),11,All Regions,-1,Diseased Avg,MCMC,0.023545,,0.090859,0.927527,0.927527,1.000000
HCM,Multi-territory MI (μ=1.7),12,All Regions,-1,Overall Avg,Point Estimate,0.026559,0.094701,0.094701,,0.000000,
HCM,Multi-territory MI (μ=1.7),12,All Regions,-1,Overall Avg,MCMC,0.011508,,0.083858,0.994156,0.994156,1.000000
HCM,Multi-territory MI (μ=1.7),12,All Regions,-1,Diseased Avg,Point Estimate,0.026559,0.094701,0.094701,,0.000000,
HCM,Multi-territory MI (μ=1.7),12,All Regions,-1,Diseased Avg,MCMC,0.011508,,0.083858,0.994156,0.994156,1.000000
HCM,Multi-territory MI (μ=1.7),13,All Regions,-1,Overall Avg,Point Estimate,0.029737,0.101937,0.101937,,0.000000,
HCM,Multi-territory MI (μ=1.7),13,All Regions,-1,Overall Avg,MCMC,0.008545,,0.087048,1.091500,1.091500,1.000000
HCM,Multi-territory MI (μ=1.7),13,All Regions,-1,Diseased Avg,Point Estimate,0.029737,0.101937,0.101937,,0.000000,
HCM,Multi-territory MI (μ=1.7),13,All Regions,-1,Diseased Avg,MCMC,0.008545,,0.087048,1.091500,1.091500,1.000000
