Volume,cir-Basal-InfSept,cir-Basal-AntSept,cir-Basal-Ant,cir-Basal-AntLat,cir-Basal-InfLat,cir-Basal-Inf,cir-Mid-InfSept,cir-Mid-AntSept,cir-Mid-Ant,cir-Mid-AntLat,cir-Mid-InfLat,cir-Mid-Inf,cir-Apical-Septal,cir-Apical-Anterior,cir-Apical-Lateral,cir-Apical-Inferior,rad-Basal-InfSept,rad-Basal-AntSept,rad-Basal-Ant,rad-Basal-AntLat,rad-Basal-InfLat,rad-Basal-Inf,rad-Mid-InfSept,rad-Mid-AntSept,rad-Mid-Ant,rad-Mid-AntLat,rad-Mid-InfLat,rad-Mid-Inf,rad-Apical-Septal,rad-Apical-Anterior,rad-Apical-Lateral,rad-Apical-Inferior
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.170646588,-0.179375695,-0.162711321,-0.2263447,-0.248955689,-0.14528381,-0.176835047,-0.187211118,-0.136799771,-0.147613923,-0.199019645,-0.076575037,-0.171396893,-0.102146912,-0.179677679,-0.110972727,-0.040576001,0.031892308,0.057966322,-0.032995373,-0.003718636,-0.002990069,0.026427196,0.027594352,0.027685227,-0.026647209,0.033254558,0.013332719,0.025688406,0.036365235,0.025389751,0.009272546
,-0.00035651,-0.026200985,0.003364071,0.011269392,-0.003378686,-0.005477534,0.002446348,-0.007598016,-0.000745662,0.003515872,0.003598769,0.007070722,0.005471549,0.00223342,0.028388312,0.00152291,0.421733069,0.570649673,1.318340549,0.866873514,0.729820787,0.499581076,0.550718694,0.450627803,0.630356005,0.545223089,0.744480507,0.471595536,0.489707053,0.707373633,0.755794553,0.504030081
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180.9779,-0.170646588,-0.162747848,-0.162711321,-0.165565282,-0.171213768,-0.096164579,-0.154584892,-0.149635091,-0.132851598,-0.147613923,-0.149358999,-0.076575037,-0.083079016,-0.102146912,-0.105304865,-0.07961571,0.41858100686371447,0.3422065906649944,0.393609605,0.4360482623301193,0.5233646975414747,0.26019779415440075,0.38033715008782687,0.25538682243407945,0.3999905132083032,0.47081770975557186,0.38727098004413607,0.17619429774139395,0.1737604478085406,0.20566756571624345,0.17831861864133633,0.129914339
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180.9779,-0.170011482,-0.162472261,-0.162711321,-0.170300103,-0.176715116,-0.109375068,-0.154963655,-0.15373371,-0.136799771,-0.147613923,-0.157752252,-0.076575037,-0.127948559,-0.102146912,-0.14981309,-0.110972727,0.421733069,0.34698760064668416,0.41867929107663515,0.45444824817979634,0.5520269394867108,0.3172295416770484,0.3875592021937415,0.2706725829155049,0.43569445983253796,0.4941793017199857,0.41456823058220993,0.2232721232869029,0.3595012998020396,0.3527222929268973,0.30190178753747515,0.2390515658730059
180.9779,-0.156379962,-0.153702996,-0.162711321,-0.165995047,-0.172770641,-0.096857854,-0.140995453,-0.13954552,-0.131951337,-0.147613923,-0.150839627,-0.076575037,-0.07792221,-0.102146912,-0.106236666,-0.080766757,0.42173306721841086,0.34387175818094806,0.43722344172053684,0.44644483718520506,0.5362921449879867,0.28287278524350146,0.3851063707607715,0.082743223,0.35759674166323696,0.47480208571157745,0.3900733026982241,0.16935641863147144,0.1443332544463597,0.16075287000932623,0.1742564617351281,0.11323197467590197
180.9779,-0.156379962,-0.153702996,-0.162711321,-0.165995047,-0.172770641,-0.096857854,-0.140995453,-0.13954552,-0.131951337,-0.147613923,-0.150839627,-0.076575037,-0.07792221,-0.102146912,-0.106236666,-0.080766757,0.42173306721841086,0.34387175818094806,0.43722344172053684,0.44644483718520506,0.5362921449879867,0.28287278524350146,0.3851063707607715,0.319099348,0.35759674166323696,0.47480208571157745,0.3900733026982241,0.16935641863147144,0.320195552,0.369006188,0.448538262,0.271967884
