cirInfSeptTotal,cirAntSeptTotal,cirAntTotal,cirAntLatTotal,cirInfLatTotal,cirInfTotal,radInfSeptTotal,radAntSeptTotal,radAntTotal,radAntLatTotal,radInfLatTotal,radInfTotal
0,0,0,0,0,0,0,0,0,0,0,0
0.00547154946704644,-0.0117986875650701,0.0015681332831152,0.00783369745495794,0.0174307752675988,0.0015229096242516,0.0361343235309518,0.0256884060913785,0.0363652348442182,0.0538172971813764,0.0253897513311495,0.00927254619466436
-0.000582716197647721,-0.0311343861889811,0.00223342020952685,0.00521312258802461,0.0283883120361517,-0.00504733132146842,0.0954910919411352,0.0610332093160996,0.0783517605051897,0.106771395872446,0.0585387627183722,0.0433336211557897
-0.0198214317630312,-0.0570069331059732,-0.0101115469551199,-0.00960190853117139,0.000452569683935651,-0.0193704568673511,0.1361019159234,0.102031112549138,0.141400109036515,0.203299063562667,0.125732623449646,0.0866108149041924
-0.0496091609463257,-0.0811166090931683,-0.0357624667290924,-0.0342746921932163,-0.0358292283204083,-0.0377637187558048,0.18361234242334,0.146226505022303,0.216870200748384,0.298457970035722,0.208637877329911,0.144926415687368
-0.0839933912756649,-0.103932325042528,-0.0648943353524217,-0.059599744004532,-0.0741422156743693,-0.0564662878711721,0.224917184748884,0.190250462323533,0.284078737591705,0.395016894376716,0.283997076682011,0.202637295230211
-0.112909355784145,-0.126870096122044,-0.0845113437419868,-0.0782211984002801,-0.107295414630879,-0.0787701896478265,0.285519984602816,0.23475277473431,0.368782258842323,0.482137562227766,0.37295844696255,0.281719434668988
-0.135827402165898,-0.144828276942764,-0.0987701224176762,-0.0896812063985884,-0.134746649306608,-0.0950185303906675,0.341779340068903,0.281183005295571,0.466548288942463,0.571333469874314,0.457897757608292,0.357395719157727
-0.152525835459139,-0.161829644881242,-0.102146911609531,-0.0989551798484508,-0.155026160136288,-0.104953801404398,0.404191771474016,0.334309750698712,0.564143638245313,0.64696570633651,0.532782966259761,0.429431478979408
-0.163828184877004,-0.171396893163589,-0.0994685873327898,-0.108287617564913,-0.171763881207084,-0.110972727104025,0.463198901725684,0.385673771245921,0.652491660862185,0.716102113265316,0.603206972356587,0.490286928992152
-0.16207644350686,-0.168358034647841,-0.0950525532064954,-0.110082069446665,-0.179677679053695,-0.108838641441666,0.489707053416485,0.409535648419314,0.707373633489869,0.755794553405928,0.626320997210846,0.504030081331039
-0.147847382227905,-0.143594297960055,-0.0865498924587798,-0.103334248507947,-0.173260877642965,-0.0966448141180236,0.436945158729215,0.367820073229686,0.67460728098449,0.718650073380781,0.583589434711079,0.431820848380751
-0.13154891957299,-0.117007110038483,-0.075603349159825,-0.0917833942785514,-0.150550731449255,-0.0873329653770195,0.355571482707828,0.284819620812258,0.593751971285606,0.618609819224548,0.497878199877344,0.346195254536848
-0.131828248947081,-0.10780764218987,-0.0700356377875946,-0.0749257768890756,-0.12199155414422,-0.0919956539632682,0.335073594926718,0.255209140442896,0.492403106392363,0.485489251477507,0.411587273448019,0.301603304005535
-0.14507506470744,-0.114169258223458,-0.0608228718331487,-0.0559464537013723,-0.0922035544018095,-0.104680786313494,0.335696182532354,0.252834190096425,0.369006188129318,0.303783926806008,0.282396137948884,0.285245750885461
-0.139254374690778,-0.120261091846125,-0.0363893334681975,-0.0291420711045094,-0.0593060597825358,-0.107198044631068,0.266667917421068,0.208735280395935,0.215842389375477,0.123919700731949,0.152866016214032,0.229054598597893
